R27,  DSB301-10-C85 , MIN, R25, CTD_PRES , I
R27,  OCR504_ICSW  , MIN, R25,  RADIOMETER_DOWN_IRR380  , I
R27,  OCR504_ICSW  , MIN, R25,  RADIOMETER_DOWN_IRR412  , I
R27,  OCR504_ICSW  , MIN, R25,  RADIOMETER_DOWN_IRR443  , I
R27,  OCR504_ICSW  , MIN, R25,  RADIOMETER_DOWN_IRR490  , I
R27,  OCR504_ICSW  , MIN, R25,  RADIOMETER_DOWN_IRR555  , I
R27,  OCR504_R10W  , MIN, R25,  RADIOMETER_UP_RAD412  , I
R27,  OCR504_R10W  , MIN, R25,  RADIOMETER_UP_RAD443  , I
R27,  OCR504_R10W  , MIN, R25,  RADIOMETER_UP_RAD490  , I
R27,  OCR504_R10W  , MIN, R25,  RADIOMETER_UP_RAD555  , I
